Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_42_195,VPWR,li1,95.4500,127.8400,1.798816
FILLER_42_169,VPWR,li1,83.4900,127.8400,1.798914
FILLER_42_163,VPWR,li1,81.8800,127.8400,1.798934
FILLER_42_141,VPWR,li1,70.6100,127.8400,1.799048
FILLER_42_129,VPWR,li1,65.3200,127.8400,1.799105
FILLER_42_88,VPWR,li1,46.9200,127.8400,1.799359
FILLER_42_50,VPWR,li1,29.4400,127.8400,1.799642
FILLER_42_27,VPWR,li1,18.1700,127.8400,1.799780
FILLER_42_21,VPWR,li1,16.5600,127.8400,1.799777
FILLER_42_3,VPWR,li1,7.3600,127.8400,1.799771
FILLER_41_301,VPWR,li1,144.2100,122.4000,1.798577
FILLER_41_297,VPWR,li1,143.0600,122.4000,1.798577
FILLER_41_281,VPWR,li1,136.6200,122.4000,1.798581
FILLER_41_277,VPWR,li1,133.6300,122.4000,1.798588
FILLER_41_265,VPWR,li1,130.1800,122.4000,1.798592
FILLER_41_253,VPWR,li1,124.6600,122.4000,1.798606
FILLER_41_228,VPWR,li1,113.1600,122.4000,1.798652
FILLER_41_222,VPWR,li1,108.1000,122.4000,1.798676
FILLER_41_213,VPWR,li1,103.9600,122.4000,1.798702
FILLER_41_204,VPWR,li1,100.0500,122.4000,1.798733
FILLER_41_192,VPWR,li1,96.6000,122.4000,1.798748
FILLER_41_169,VPWR,li1,83.7200,122.4000,1.798870
FILLER_41_165,VPWR,li1,82.1100,122.4000,1.798870
FILLER_41_145,VPWR,li1,73.1400,122.4000,1.798969
FILLER_41_92,VPWR,li1,48.7600,122.4000,1.799320
FILLER_41_73,VPWR,li1,39.5600,122.4000,1.799459
FILLER_41_55,VPWR,li1,31.0500,122.4000,1.799592
FILLER_41_43,VPWR,li1,28.0600,122.4000,1.799647
FILLER_41_30,VPWR,li1,20.2400,122.4000,1.799794
FILLER_41_3,VPWR,li1,7.3600,122.4000,1.799784
FILLER_40_299,VPWR,li1,143.7500,122.4000,1.798577
FILLER_40_273,VPWR,li1,132.4800,122.4000,1.798588
FILLER_40_259,VPWR,li1,124.8900,122.4000,1.798606
FILLER_40_253,VPWR,li1,123.2800,122.4000,1.798616
FILLER_40_248,VPWR,li1,120.5200,122.4000,1.798625
FILLER_40_236,VPWR,li1,116.8400,122.4000,1.798635
FILLER_40_224,VPWR,li1,111.3200,122.4000,1.798661
FILLER_40_197,VPWR,li1,98.9000,122.4000,1.798733
FILLER_40_187,VPWR,li1,91.7700,122.4000,1.798782
FILLER_40_174,VPWR,li1,86.4800,122.4000,1.798837
FILLER_40_162,VPWR,li1,82.8000,122.4000,1.798870
FILLER_40_134,VPWR,li1,68.5400,122.4000,1.799027
FILLER_40_122,VPWR,li1,64.4000,122.4000,1.799079
FILLER_40_97,VPWR,li1,51.9800,122.4000,1.799249
FILLER_40_85,VPWR,li1,47.3800,122.4000,1.799320
FILLER_40_76,VPWR,li1,42.3200,122.4000,1.799403
FILLER_40_49,VPWR,li1,28.7500,122.4000,1.799647
FILLER_40_37,VPWR,li1,25.3000,122.4000,1.799699
FILLER_40_27,VPWR,li1,18.1700,122.4000,1.799790
FILLER_40_15,VPWR,li1,15.1800,122.4000,1.799788
FILLER_40_3,VPWR,li1,9.6600,122.4000,1.799784
FILLER_39_278,VPWR,li1,133.8600,116.9600,1.798315
FILLER_39_216,VPWR,li1,105.3400,116.9600,1.798462
FILLER_39_208,VPWR,li1,103.0400,116.9600,1.798480
FILLER_39_181,VPWR,li1,89.0100,116.9600,1.798639
FILLER_39_169,VPWR,li1,86.0200,116.9600,1.798684
