net,length_um
net152,3.78µm
net183,3.78µm
_078_,3.705µm
_094_,3.705µm
_002_,3.66µm
_240_,3.64µm
_198_,3.56µm
_228_,3.56µm
_234_,3.54µm
_256_,3.54µm
rd_bin_next\[1\],3.54µm
net208,3.54µm
aempty_threshold[2],3.47µm
aempty_threshold[3],3.47µm
_046_,3.465µm
_090_,3.465µm
_197_,3.45µm
_166_,3.42µm
_186_,3.42µm
net143,3.42µm
net192,3.42µm
_012_,3.345µm
_165_,3.33µm
wr_bin_next\[4\],3.32µm
net98,3.32µm
net145,3.32µm
net22,3.3µm
_019_,3.295µm
_055_,3.245µm
_086_,3.245µm
_134_,3.245µm
_195_,3.22µm
net174,3.22µm
_128_,3.175µm
net122,3.1µm
_177_,3.08µm
net187,3.08µm
net196,3.08µm
_068_,3.005µm
_220_,2.98µm
_219_,2.96µm
net11,2.96µm
net24,2.96µm
net105,2.96µm
net175,2.96µm
_088_,2.955µm
_032_,2.885µm
_116_,2.86µm
net138,2.86µm
_041_,2.785µm
_069_,2.785µm
_095_,2.785µm
_121_,2.785µm
net191,2.76µm
rd_gray\[3\],2.74µm
net77,2.74µm
_109_,2.715µm
_004_,2.64µm
_155_,2.62µm
_171_,2.62µm
_223_,2.62µm
rd_bin_next\[0\],2.62µm
wr_gray\[2\],2.62µm
net4,2.62µm
net195,2.62µm
_124_,2.595µm
_073_,2.545µm
_081_,2.52µm
net198,2.52µm
_200_,2.5µm
_202_,2.5µm
net108,2.5µm
_169_,2.41µm
_218_,2.4µm
_263_,2.4µm
net120,2.4µm
net139,2.4µm
net141,2.4µm
net144,2.4µm
net154,2.4µm
net156,2.4µm
_063_,2.375µm
_047_,2.325µm
_051_,2.325µm
_072_,2.325µm
_080_,2.325µm
_091_,2.325µm
_126_,2.325µm
_203_,2.3µm
rd_bin_next\[2\],2.3µm
net85,2.3µm
net87,2.3µm
net92,2.3µm
net94,2.3µm
net99,2.3µm
net102,2.3µm
net109,2.3µm
net116,2.3µm
net121,2.3µm
net134,2.3µm
net159,2.3µm
net160,2.3µm
net165,2.3µm
net181,2.3µm
net188,2.3µm
net199,2.3µm
_001_,2.28µm
net204,2.28µm
_101_,2.255µm
_007_,2.16µm
_170_,2.16µm
_252_,2.16µm
_268_,2.16µm
net78,2.16µm
net151,2.16µm
net201,2.16µm
_110_,2.125µm
_020_,2.085µm
net86,2.04µm
net110,2.04µm
net129,2.04µm
_028_,2.025µm
_118_,2.025µm
_119_,2.025µm
net114,1.94µm
net123,1.94µm
net131,1.94µm
net132,1.94µm
net178,1.94µm
net186,1.94µm
_102_,1.865µm
wr_gray_sync1\[0\],1.84µm
net176,1.84µm
net177,1.84µm
net207,1.84µm
_217_,1.72µm
_173_,1.7µm
net185,1.7µm
net136,1.48µm
net153,1.48µm
net167,1.48µm
net189,1.48µm
net202,1.48µm
_005_,1.36µm
net89,1.36µm
_163_,0.46µm
